"syscode"|"inhoud"|"jaar"|"author"
"1"|"<a href=\"http://www.aspeditions.be/article.aspx?article_id=DESTEM613O\"><span style=\"font-style: italic;\">De stemmen van het volk. Een analyse van het kiesgedrag op 7 juni 2009 in Vlaanderen en Wallonië</span></a>, Brussel: VUB Press  "|"2010"|"DESCHOUWER, Kris, DELWIT, Pascal, HOOGHE, Marc, WALGRAVE, Stefaan"
"2"|"<a href=\"http://www.palgrave.com/products/title.aspx?pid=307562\"><span style=\"font-style: italic;\">The Politics of Belgium. Governing a divided society</span></a>, London: Palgrave    "|"2009"|"DESCHOUWER, Kris"
"982"|"Die europäische&nbsp;Wirtschafts- und Währungsunion im Umbruch: Lektionen aus der globalen&nbsp;Finanzkrise und neue Aufgaben für die Zukunft, <span style=\"font-style: italic;\">Integration&nbsp;Vierteljahreszeitschrift</span>, 2/2009"|"2009"|"KEIL, Kathrin & PRIMOVA, Radostina"
"38"|"<a href=\"http://www.aspeditions.be/article.aspx?article_id=THEEUR030Q&amp;langue=en-gb\"><span style=\"font-style: italic;\">The European Commission and interest groups. Towards a deliberative interpretation of stakeholder involvement in EU policy-making</span></a>, Brussels: VUB University Press "|"2009"|"TANASESCU, Irina"
"3"|"Kosovo and the Question of a Just Secession, Bruno Coppieters and Nick Fotion (eds), <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739121294\"><i>Moral Constraints on War</i></a>, Lanham: Lexington Books, p.237 – 259  "|"2008"|"COPPIETERS, Bruno"
"4"|"De ideologische veren afgeschud. D66 en het links-liberalisme, Jo Tollebeek &amp; Henk te Velde (eds),<span style=\"font-style: italic;\"> Het Geheugen van de Lage Landen</span>, Nederlandse Taalunie, Ons Erfdeel, p.221 – 228"|"2009"|"STOUTHUYSEN, Patrick"
"1058"|"<span style=\"font-style: italic;\">Eigen emancipatie eerst? Over de rechten en representatie van vrouwen in de multiculturele samenleving</span>, Academia Press, Gent"|"2005"|"COENE, Gily & C. LONGMAN(ed.), "
"8"|"<I>The Presidency in Central and Eastern Europe</I>. The Proceedings of the “The Contours of Legitimacy in Central Europe: New Approaches in Graduate Studies” Conference, St. Antony’s College, Oxford, UK, 24-26.05.2002"|"2002"|"TANASESCU, Irina"
"9"|"<a href=\"http://www.apsoc.ox.ac.uk/Espanet/espanetconference/papers/ppr.2A.IT.pdf\"><i>European Social Dialogue after Enlargement</i></a>. The Proceedings of the 2 Annual ESPAnet Conference “European Social Policy: Meeting the Needs of a New Europe”, Oxford, UK, 9-11.09.2004<br> "|"2004"|"TANASESCU, Irina, BEDOYAN, Isabelle"
"303"|"<a href=\"http://pubs.carnegie.ru/workpapers/2002/wp0202.pdf\"><span style=\"font-style: italic;\">Federalism i konflikt na Kavkaze</span></a>, Moscow, Carnegie Center Moscow, 2002"|"2002"|"COPPIETERS, Bruno"
