syscode;author;jaar;inhoud
13_001;ADAM, Ilke;2013;Les enttés fédérées belges et l'intégration des immigrés. Politiques publiques comparées. Bruxelles: Editions de l'Université de Bruxelles. 
13_002;ADAM, Ilke;2013;Migrant integration policies in the Belgian Regions. Explaining divergence after devolution, Regional and Federal Studies, DOI:10.1080/13597566.2013.789024
13_003;ADAM, Ilke & Martiniello, Marco;2013;Divergences et convergences des politiques d'intégration dans la Belgique multinationale. Le cas des parcours d'intégration pour immigrés. Revue Européenne des Migrations Internationales, Vol.29, No2, p. 77-93.
13_004;ANDRÉ, Audrey & DEPAUW, Sam;2013;District Magnitude and Home Styles of Representation in European Democracies, West European Politics , Vol. 36, No. 5, p. 986-1006.
13_005;ANDRÉ, Audrey & DEPAUW, Sam;2013;Electoral Competition and the Constituent-Representative Relationship, World Political Science Review, Vol. 9, No. 1, p. 337-355.
13_006;ANDRÉ, Audrey & DEPAUW, Sam;2013;De kracht van de lokale afdelingen, in Deschouwer, Kris, Verthé, Tom & Rihoux, Benoit (red.), Lokale partijafdelingen en de gemeenteraadsverkiezingen van oktober 2012. Op zoek naar de kiezers. Brussel: ASP, p. 25-47.
13_007;ANDRÉ, Audrey & DEPAUW, Sam;2012;Electorale competitie en het contact met de bevolking, Res Publica, Vol. 54, No. 3, p. 269–288.
13_008;ANDRÉ, Audrey, BRADBURY, Jonathan & DEPAUW, Sam;2013;Constituency Service in Multi-Level Democracies, Regional and Federal Studies, DOI:10.1080/13597566.2013.858708
13_009;ANDRÉ, Audrey, DEPAUW, Sam & BEYENS, Stefanie;2013;Party Loyalty and Electoral Dealignment, Party Politics, DOI: 10.1177/1354068813509521
13_0010;ANDRÉ, Audrey, DEPAUW, Sam & DESCHOUWER, Kris;2013;Issue Uptake in the Shadow of Elections, in Esaiasson, Peter & Narud, Hanne-Marthe (eds), Between-Election Democracy. The Representative Relationship After Election Day. Colchester: ECPR Press, p. 53-75.
13_0011;ANDRÉ, Audrey, DEPAUW, Sam & DESCHOUWER, Kris;2012;Legislators’ Local Roots: Disentangling the Effect of District Magnitude, Party Politics, DOI:10.1177/ 1354068812458617
13_0012;ANDRÉ, Audrey, DEPAUW, Sam & SANDRI, Giulia ;2013;‘Belgian Affairs’ and Constituent Preferences for Good Constituency Members, Acta Politica,  Vol. 48, No. 2, p. 167-191.
13_0013;ANDRÉ, Audrey, PILET, Jean-Benoit, DEPAUW, Sam & VAN AELST, Peter;2013;De partij, de leider of een ‘gewone’kandidaat? Het gebruik van de voorkeurstem bij de gemeenteraadsverkiezingen van 2012, Dassonneville, Ruth, Hooghe, Marc, Mariën, Sofie & Pilet, Jean-Benoit (red.), Het kiesgedrag bij de Belgische gemeenteraadsverkiezingen van oktober 2012. De lokale kiezer. Brussel: ASP, p. 119-142.
13_0014;ANDRÉ, Audrey, WAUTERS, Bram & PILET, Jean-Benoit ;2012;It’s Not Only About Lists. Explaining Preference Voting in Belgium, Journal of Elections, Public Opinion & Parties, Vol. 22, No. 3, p. 293-313.
13_0015;Rudakowska, Anna ;2012;Anna Rudakowska (2012) ‘Taiwan’s democratization and the European Union’s relations with China and Taiwan – the arms embargo debate between 2003 and 2005’, in: E. Trojnar (ed.) The Taiwan Issues, Kraków: Księgarnia Akademicka Publishing House, p. 99-118.
13_0016;BENYAICH, Bilal;2012;De vierde weg van de sociaaldemocratie is hobbelig en mistig' (Book review on Olaf Cramme & Patrick Diamond, After the Third Way, the Future of Social Democracy in Europe, I.B. Taurus, London, 2012), Internationale Spectator, december 2012, jaargang 66, nr. 12, p. 620-623.
13_0017;BENYAICH, Bilal;2013;Eplaining the EU's Common Security and Defence Policy: Theory in Action' (Book review on Kurowska & Breuer (eds.), Palgrave, 2012), Journal of Common Market Studies, 2013, Vol. 51 (4), p. 806-807.
13_0018;BENYAICH, Bilal;2013;Europe and Israel are not drifting apart', Social Europe Journal, december 2012
13_0019;BENYAICH, Bilal;2013;Verdeeld Europa in de VN wijst niet op erosie EU-Israël-relatie', Internationale Spectator, januari 2013, jaargang 67 nr. 1, p. 49-50.
13_0020;BENYAICH, Bilal;2013;De Arabische Lente onder druk', Samenleving en Politiek, februari 2013, jaargang 20 nr. 2, p. 57-65.
13_0021;BENYAICH, Bilal;2013;Islam en Radicalisme bij Marokkanen in Brussel', Van Halewyck, 2013, 208 p. (i.s.m. Zibar Omar)
13_0022;BENYAICH, Bilal en OMAR, Zibar;2013;De greep van Saudi-Arabië op moslims in België', Internationale Spectator, november 2013, jaargang 67 nr. 11.
